"","Author","Title","Source","PubYear","DOI","Variety","Coder","Removed","Reason"
"1","HYLAND K;JIANG FK","POINTS OF REFERENCE: CHANGING PATTERNS OF ACADEMIC CITATION","APPLIED LINGUISTICS",2019,"10.1093/applin/amx012","Norfolk","Caitlin",NA,NA
"2","KRAKOW RA","PHYSIOLOGICAL ORGANIZATION OF SYLLABLES: A REVIEW","JOURNAL OF PHONETICS",1999,"10.1006/jpho.1999.0089","Kent","Caitlin",NA,NA
"3","HOLLIDAY A","THE ROLE OF CULTURE IN ENGLISH LANGUAGE EDUCATION: KEY CHALLENGES","LANGUAGE AND INTERCULTURAL COMMUNICATION",2009,"10.1080/14708470902748814","Kent","Caitlin",NA,NA
"4","RAYMER AM;KOHEN F;BLONDER LX;DOUGLAS JL;ROTHI LJG","EFFECTS OF GESTURE AND SEMANTIC-PHONOLOGIC TREATMENTS FOR NOUN RETRIEVAL IN APHASIA","BRAIN AND LANGUAGE",2007,"10.1016/j.bandl.2007.07.014","Norfolk","Caitlin",NA,NA
"5","JACOBSON GP;GANS DP","THE CONTINGENT NEGATIVE-VARIATION AS AN INDICATOR OF SPEECH-DISCRIMINATION DIFFICULTY","JOURNAL OF SPEECH AND HEARING RESEARCH",1981,"10.1044/jshr.2403.345","Kent","Caitlin",NA,NA
"6","LODGE K","THE HANDBOOK OF PHONOLOGICAL THEORY - GOLDSMITH,JA","JOURNAL OF LINGUISTICS",1997,"10.1017/S0022226796006329","Norfolk","Caitlin",NA,NA
"7","BRADY MC;ALI M;VANDENBERG K;WILLIAMS LJ;WILLIAMS LR;ABO M;BECKER A;BRANDENBURG C;BREITENSTEIN S;COPLAND DA;CRANFILL TB;DI;PIETRO-BACHMANN M;ENDERBY P;FILLINGHAM FL;GANDOLFI M;GLIZE E;HAWKINS N;HILARI K;HINCKLEY J;HORTON S;HOWARD D;JAECKS E;JESUS LMT;KAMBANAROS EK;KHEDR EM;KONG T;LAGANARO M;RALPH AC;LEEMANN B;LEFF RR;LORENZ A;MACWHINNEY B;MARSHALL RS;MATTIOLI F;MAVIS I;MEINZER M;NILIPOUR R;NOE E;PAIK R;PAPATHANASIOU I;PATRICIO IP;PRICE C;JAKOVAC E;ROSE ML;ROSSO I;RUITER MB;SNELL C;STAHL B;SZAFLARSKI JP;THOMAS SA;VAN DE;SANDT-KOENDERMAN M;VAN DER MEULEN I;VISCH-BRINK E;WORRALL L;WRIGHT HH","RELEASE: A PROTOCOL FOR A SYSTEMATIC REVIEW BASED, INDIVIDUAL PARTICIPANT DATA, META- AND NETWORK META-ANALYSIS, OF COMPLEX SPEECH-LANGUAGE THERAPY INTERVENTIONS FOR STROKE-RELATED APHASIA","APHASIOLOGY",2020,"10.1080/02687038.2019.1643003","Norfolk","Caitlin",NA,NA
"8","RIDEALGH K;UNCETA GOMEZ L","POTESTAS AND THE LANGUAGE OF POWER: CONCEPTUALISING AN APPROACH TO POWER AND DISCERNMENT POLITENESS IN ANCIENT LANGUAGES","JOURNAL OF PRAGMATICS",2020,"10.1016/j.pragma.2020.09.011","Norfolk","Caitlin",NA,NA
"9","COLLINS P","IT-CLEFTS AND WH-CLEFTS: PROSODY AND PRAGMATICS","JOURNAL OF PRAGMATICS",2006,"10.1016/j.pragma.2005.03.015","Lancashire","Caitlin",NA,NA
"10","LAI WV;SILKES JP;MINKINA I;KENDALL DL","GENERALISATION AND MAINTENANCE ACROSS WORD CLASSES: COMPARING THE EFFICACY OF TWO ANOMIA TREATMENTS IN IMPROVING VERB NAMING","APHASIOLOGY",2019,"10.1080/02687038.2019.1587376","Kent","Caitlin",NA,NA
"11","MATTHEWS C","ON THE NATURE OF PHONOLOGICAL CUES IN THE ACQUISITION OF FRENCH GENDER CATEGORIES: EVIDENCE FROM INSTANCE-BASED LEARNING MODELS","LINGUA",2010,"10.1016/j.lingua.2009.06.007","Norfolk","Caitlin",NA,NA
"12","MURPHY KA;JUSTICE LM","LEXICAL-LEVEL PREDICTORS OF READING COMPREHENSION IN THIRD GRADE: IS SPELLING A UNIQUE CONTRIBUTOR?","AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY",2019,"10.1044/2019\_AJSLP-18-0299","Norfolk","Caitlin",NA,NA
"13","VIERECK W","THE NORTHUMBRIAN BURR - A SOCIOLINGUISTIC STUDY - PAHLSSON,C","ANGLIA-ZEITSCHRIFT FUR ENGLISCHE PHILOLOGIE",1980,NA,"Northumbrian","Caitlin",NA,NA
"14","SUI G","BILINGUAL CREATIVITY: UNIVERSITY-LEVEL POETRY WRITING WORKSHOPS IN ENGLISH IN CHINA: HOW IS ``CONTACT LITERATURE' CREATED?","ENGLISH TODAY",2015,"10.1017/S0266078415000243","Lancashire","Caitlin",NA,NA
"15","KELLER RE","HISTORICAL GERMAN PHONOLOGY AND MORPHOLOGY - RUSS,CVJ","MODERN LANGUAGE REVIEW",1980,"10.2307/3728032","Lancashire","Caitlin",NA,NA
"16","FEUERSTEIN JL;OLSWANG LB;GREENSLADE KJ;DOWDEN P;PINDER GL;MADDEN J","IMPLEMENTATION RESEARCH: EMBRACING PRACTITIONERS' VIEWS","JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH",2018,"10.1044/2017\_JSLHR-L-17-0154","Kent","Caitlin",NA,NA
"17","RUANO-GARCIA J","ON THE ENREGISTERMENT OF THE LANCASHIRE DIALECT IN LATE MODERN ENGLISH: SPELLING IN FOCUS","JOURNAL OF HISTORICAL SOCIOLINGUISTICS",2020,"10.1515/jhsl-2018-0024","Lancashire","Caitlin",NA,NA
"18","LABASTIA LO","PROSODIC PROMINENCE IN ARGENTINIAN SPANISH","JOURNAL OF PRAGMATICS",2006,"10.1016/j.pragma.2005.03.019","Lancashire","Caitlin",NA,NA
"19","ADAMCZYK E","TOWARDS A DIATOPIC APPROACH TO THE OLD ENGLISH S-STEM DECLENSION","NEUPHILOLOGISCHE MITTEILUNGEN",2011,NA,"Northumbrian","Caitlin",NA,NA
